Kanji,Kanji Meaning,Onyomi Romaji,Onyomi Kana,Kunyomi Romaji,Kunyomi Kana
飯,"meal, rice",han,ハン,meshi,めし
勉,"exertion, endeavor, effort",ben,ベン,tsuto(meru),つと(める)
冬,winter,tou,トウ,fuyu,ふゆ
昼,"daytime, noon",chuu,チュウ,hiru,ひる
茶,tea,"cha, sa","チャ, サ",,
弟,younger brother,"tei, dai, de","テイ, ダイ, デ",otouto,おとうと
牛,cow,gyuu,ギュウ,ushi,うし
魚,fish,gyo,ギョ,"uo, sakana","うお, さかな"
兄,elder brother,"kyou, kei","キョウ, ケイ",ani,あに
犬,dog,ken,ケン,inu,いぬ
妹,younger sister,mai,マイ,imouto,いもうと
姉,elder sister,shi,シ,ane,あね
漢,china,kan,カン,,
