文法,Grammar,Meaning
からには,kara niwa,now that; since; so long as; because
からして,kara shite,judging from; based on; since; from
からすると,kara suru to,judging from; considering
からと言って,kara to itte,just because; even if; even though~
っこない,kkonai,no chance of; definitely not possible
ことだ,koto da,should do~ (suggestions or advice)
ことだから,koto dakara,because; since~
ことか,koto ka,how...!; what...!
ことなく,koto naku,without doing something even once
ことに,koto ni,emphasize speaker's feelings
ことにはならない,koto niwa naranai,just because... doesn’t mean~
くせして,kuse shite,although~; despite the fact that~
まだしも,madashimo,rather; better
まい,mai,will not; intend not to
ままに,mama ni,"as, to do as~"
全く~ない,mattaku~nai,not at all~
もかまわず,mo kamawazu,without caring; without worrying
も当然だ,mo touzen da,it’s only natural; no wonder
もの / もん,mono / mon,because; reason/ excuse/dissatisfaction
ものだ,mono da,describe feeling; express memories
ものだから,mono dakara,so; therefore; the reason for something
ものではない,mono dewa nai,shouldn’t do something; it’s impossible
ものがある,mono ga aru,there is such a thing; to be the case
ものか / もんか,mono ka / mon ka,as if; there's no way~
ものなら,mono nara,"if [A] is possible, then [B]"
ものの,monono,but; although; even though~
もっとも,motto mo,but then; although; though~
もう少しで,mou sukoshi de,"almost; nearly, close to~"
ないではいられない,nai dewa irarenai,can’t help but feel; can’t help but do
ないことには~ない,nai koto niwa~nai,unless you~
中を /中では,naka o /naka dewa,in; on; in the midst of; when; while~
なくはない,naku wa nai,it’s not that; I may (double negative)
なくて済む,nakute sumu,get by without doing~
何も~ない,nani mo~nai,nothing; (not) ~ at all
なお,nao,still; yet; furthermore; in addition~
ねばならない,neba naranai,have to do; must; should~
にあたって,ni atatte,at the time; on the occasion of~
にほかならない,ni hoka naranai,nothing but; none other than~
に限らず,ni kagirazu,not just; not only.. but also~
に限る,ni kagiru,is best; nothing is better than~
に限って,ni kagitte,only; in particular~
に関わらず,ni kakawarazu,in spite of; regardless of~
に関わる,ni kakawaru,to relate to; to have to do with
に決まっている,ni kimatte iru,certainly; I’m sure/certain that
に越したことはない,ni koshita koto wa nai,"it’s best that, nothing better than"
に応えて,ni kotaete,in response to
に加えて,ni kuwaete,in addition
に基づいて,ni motozuite,based on; on the basis of
に向かって,ni mukatte,to face; to go towards; to head to
に応じて,ni oujite,depending on; in accordance with
に際して,ni saishite,on the occasion of; at the time of
に先立ち,ni sakidachi,before; prior to
にせよ/ にしろ,ni seyo/ ni shiro,even if; regardless; whether... or
にしろ~にしろ,ni shiro~ni shiro,whether... or~
にしたら,ni shitara,from one’s perspective
にしても,ni shitemo,regardless of whether
に沿って,ni sotte,along with; in accordance with
に相違ない,ni soui nai,without a doubt; certain; sure
に過ぎない,ni suginai,no more than; just; merely; only~
に伴って,ni tomonatte,as; due to; with; along with; following
につけ,ni tsuke,every time; whenever; as; whether
につき,ni tsuki,due to; because of; per; each
にわたって,ni watatte,throughout; over a period of
にも関わらず,nimo kakawarazu,despite; in spite of; nevertheless
にて,nite,"in, at, with, by (formal particle)"
のももっともだ,no mo motto mo da,no wonder; ...is only natural
の下で,no moto de,under; with~
の上では,no ue de wa,according to; from the viewpoint of~
のみ,nomi,only; nothing but
のみならず,nominarazu,not only; besides; as well as~
ぬ,nu,negative verb conjugation (traditional)
抜きにして,nuki ni shite,without; leaving out; cutting out~
抜く,nuku,from beginning to end; completely
を契機に,o keiki ni,as a good opportunity/chance to
をめぐって,o megutte,concerning; in regard to~
をもとに,o moto ni,based on; derived from; building on
を除いて,o nozoite,except; with the exception of
を問わず,o towazu,regardless of; irrespective of; no matter
お~願う,o~negau,please do; could you please~
おまけに,omake ni,to make matters worse; what's more
恐らく,osoraku,perhaps; likely; probably; I dare say~
恐れがある,osore ga aru,it is feared that; to be in danger of
及び,oyobi,and; as well as~
ろくに~ない,roku ni~nai,not well; not enough; improperly
幸いなことに,saiwai na koto ni,fortunately; luckily; thankfully~
せいか,sei ka,perhaps because~
せっかく,sekkaku,especially; (thank you for) troubling to
せめて,semete,at least; at most~
次第,shidai,"as soon as, dependent upon"
次第で,shidai de,depending on; so~
次第に,shidai ni,gradually; in sequence; in order
しかも,shikamo,moreover; furthermore; what’s more~
その上,sono ue,besides; in addition; furthermore~
それなのに,sore na noni,and yet; despite this; but even so~
それなら,sore nara,if that’s the case; if so~
それにしても,sore ni shitemo,nevertheless; at any rate; even so
そう言えば,sou ieba,come to think of it~
そうすると,sou suru to,having done that; if that is done
末に,sue ni,finally; after; following; at the end
少しも~ない,sukoshi mo~nai,not one bit; not even a little~
少なくとも,sukunaku tomo,at least~
直ちに,tadachi ni,at once; immediately; directly
たまえ,tamae,do~; order somebody to do something
てばかりはいられない,te bakari wa irarenai,can’t keep doing~
てでも,te demo,even if I have to; by all means~
て以来,te irai,since; henceforth~
ていては,te ite wa,if one keeps doing~
てこそ,te koso,now that; since (something happened)
てまで,te made,even; will go far so as to~
てならない,te naranai,can't help but; dying to; extremely~
てたまらない,te tamaranai,can't help but; dying to; extremely~
て当然だ,te touzen da,natural; as a matter of course
ては / では,tewa / dewa,whenever; if; when~; repetitive action
てはいられない,tewa irarenai,can’t afford to; unable to~
てはならない,tewa naranai,must not; cannot; should not~
ては~ては,tewa~tewa,repetitive situations/actions
と同時に,to douji ni,at the same time as; while
といった,to itta,like; such as~
というふうに,to iu fuu ni,in such a way that~
ということは,to iu koto wa,that is to say; in other words~
というものだ,to iu mono da,something like; something called~
というものではない,to iu mono dewa nai,there is no guarantee that~
と考えられる,to kangaerareru,one can think that; it is conceivable that
とか(で),toka (de),I heard that~
とっくに,tokku ni,long ago; already; a long time ago
ところだった,tokoro datta,was just about to do something
ところに,tokoro ni,at the time; just as I was~
ところを見ると,tokoro o miru to,judging from; seeing that~
とも,tomo,even if; no matter; though~
として~ない,toshite~nai,not at all; there is not even one
としても,toshitemo,assuming; even if~
つつ,tsutsu,while; even though; despite~
つつある,tsutsu aru,to be doing; in the process of doing~
上は,ue wa,now that; since; as long as~
はもとより,wa moto yori,also; let alone; from the beginning
はともかく,wa tomokaku,anyhow; anyway; regardless
わずかに,wazuka ni,slightly; only; barely; narrowly~
やがて,yagate,before long; soon; almost; eventually~
やら~やら,yara~yara,such things as A and B; and so on~
よほど / よっぽど,yohodo / yoppodo,very; greatly; much; to a large extent
より [2],yori,"from~ (a time, place, or person)"
よりほかない,yori hoka nai,to have no choice but~
ようでは,you dewa,if~ (bad result)
ようではないか,you dewa nai ka,let’s do (something); why don’t we~
ようか~まいか,you ka~mai ka,whether or not; considering options
要するに,you suru ni,in short; in a word; to sum up
ざるを得ない,zaru o enai,cannot help (doing); have no choice but
ずに済む,zu ni sumu,get by without doing~
